AccountId,New_financeprofileId,New_NumberofGrants,new_totalexpenditure_base,new_totalassets_base,new_annualturnover_base,New_Value,TransactionCurrencyIdName,new_totalexpenditure,new_totalassets,new_annualturnover,ExchangeRate,new_name,new_AverageExchangeRate
38ec761b-3077-e111-af39-00155d001800,176e85ab-ba4d-e611-8cb7-00155d33171d,,14460384.0000,702577869.0000,,2014,Euro,14460384.0000,702577869.0000,,1.0000000000,,
8428e530-53b6-dd11-b898-00188b804fcd,06c21b8f-bb4d-e611-8cb7-00155d33171d,,,50711478.0000,,2014,Euro,,50711478.0000,,1.0000000000,,
79bec44e-53b6-dd11-b898-00188b804fcd,104a8816-c04d-e611-8cb7-00155d33171d,,12069000.0000,33825000000.0000,,2014,Euro,12069000.0000,33825000000.0000,,1.0000000000,,
90dbd43c-53b6-dd11-b898-00188b804fcd,70466ecd-beab-e411-b56b-00155d331923,,,,,2014,Euro,,,,1.0000000000,,
825d2e30-0629-e411-8caf-00155d331923,57b8d639-a8c1-e411-b56b-00155d331923,,2983505.0000,156157933.0000,,2014,Euro,2983505.0000,156157933.0000,,1.0000000000,,
73d1db36-53b6-dd11-b898-00188b804fcd,a7e1bb0f-f1e1-e411-b56b-00155d331923,,19122600.0000,341569200.0000,,2014,Euro,19122600.0000,341569200.0000,,9.0985000000,,
abd0db36-53b6-dd11-b898-00188b804fcd,fe69fc0d-3535-e511-aa0f-00155d33171d,,,2500000.0000,,2014,Euro,,2500000.0000,,1.0000000000,,
cc47d042-53b6-dd11-b898-00188b804fcd,6b91262c-c235-e511-aa0f-00155d33171d,,5715223.0000,,,2014,Euro,5715223.0000,,,1.0000000000,,
b6dbd43c-53b6-dd11-b898-00188b804fcd,2c8f272c-c935-e511-aa0f-00155d33171d,,24688560.0000,,,2014,Euro,24688560.0000,,,1.0000000000,,
dc302c55-3aa5-df11-8416-00188b804fcd,a41d9f71-cd35-e511-aa0f-00155d33171d,,3622764.0000,15249521.0000,,2014,Euro,3622764.0000,15249521.0000,,1.0000000000,,
6824e278-948d-de11-95cc-00188b804fcd,39282048-ed35-e511-aa0f-00155d33171d,,10892396.0000,425135749.0000,,2014,Euro,10892396.0000,425135749.0000,,1.0000000000,,
a4dbd43c-53b6-dd11-b898-00188b804fcd,9c0565c7-0a35-e511-aa0f-00155d33171d,,18400000.0000,770900000.0000,,2014,Euro,18400000.0000,770900000.0000,,1.0000000000,,
5ebec44e-53b6-dd11-b898-00188b804fcd,2c341cf6-0a35-e511-aa0f-00155d33171d,,15381201.0000,185150267.0000,,2014,Euro,15381201.0000,185150267.0000,,1.0000000000,,
11d1db36-53b6-dd11-b898-00188b804fcd,1a2a991d-0b35-e511-aa0f-00155d33171d,,4475748.0000,142084237.0000,,2014,Euro,4475748.0000,142084237.0000,,1.0000000000,,
f3d0db36-53b6-dd11-b898-00188b804fcd,99e34fc2-0b35-e511-aa0f-00155d33171d,,63000000.0000,5292000000.0000,,2014,Euro,63000000.0000,5292000000.0000,,1.0000000000,,
f7b3cb48-53b6-dd11-b898-00188b804fcd,2c2b5a3c-0c35-e511-aa0f-00155d33171d,,116000000.0000,2856000000.0000,,2014,Euro,116000000.0000,2856000000.0000,,1.0000000000,,
fab3cb48-53b6-dd11-b898-00188b804fcd,eafdb890-0d35-e511-aa0f-00155d33171d,,8513959.0000,202553478.0000,,2014,Euro,8513959.0000,202553478.0000,,1.0000000000,,
7102b760-53b6-dd11-b898-00188b804fcd,f0d8def6-0d35-e511-aa0f-00155d33171d,,27799012.0000,1370330599.0000,,2014,Euro,27799012.0000,1370330599.0000,,1.0000000000,,
6fb3cb48-53b6-dd11-b898-00188b804fcd,2504994f-0e35-e511-aa0f-00155d33171d,,20120232.0000,8980513.0000,,2014,Euro,20120232.0000,8980513.0000,,1.0000000000,,
2b28e530-53b6-dd11-b898-00188b804fcd,aaecc5c5-0e35-e511-aa0f-00155d33171d,,16000000.0000,50824464.0000,,2014,Euro,16000000.0000,50824464.0000,,1.0000000000,,
e1d0db36-53b6-dd11-b898-00188b804fcd,31e8123b-0f35-e511-aa0f-00155d33171d,,25036114.0000,88111550.0000,,2014,Euro,25036114.0000,88111550.0000,,1.0000000000,,
bfd0db36-53b6-dd11-b898-00188b804fcd,1c1bc15d-2535-e511-aa0f-00155d33171d,,608495.0000,492141.0000,,2014,Euro,608495.0000,492141.0000,,1.0000000000,,
9fdbd43c-53b6-dd11-b898-00188b804fcd,bd8c887e-2835-e511-aa0f-00155d33171d,,7769482.0000,1318757000.0000,,2014,Euro,7769482.0000,1318757000.0000,,1.0000000000,,
c7e20de0-e0da-e111-875f-00155d000f01,2b9aeb95-0935-e511-aa0f-00155d33171d,,28199881.0000,297903479.0000,,2014,Euro,28199881.0000,297903479.0000,,1.0000000000,,
